	OrganizationNode	BusinessEntityID	NationalIDNumber	LoginID	OrganizationLevel
0		1	295847284	adventure-works\ken0	
1	/1/	2	245797967	adventure-works\terri0	1.0
2	/1/1/	3	509647174	adventure-works\roberto0	2.0
3	/1/1/1/	4	112457891	adventure-works\rob0	3.0
4	/1/1/2/	5	695256908	adventure-works\gail0	3.0
5	/1/1/3/	6	998320692	adventure-works\jossef0	3.0
6	/1/1/4/	7	134969118	adventure-works\dylan0	3.0
7	/1/1/4/1/	8	811994146	adventure-works\diane1	4.0
8	/1/1/4/2/	9	658797903	adventure-works\gigi0	4.0
9	/1/1/4/3/	10	879342154	adventure-works\michael6	4.0
10	/1/1/5/	11	974026903	adventure-works\ovidiu0	3.0
11	/1/1/5/1/	12	480168528	adventure-works\thierry0	4.0
12	/1/1/5/2/	13	486228782	adventure-works\janice0	4.0
13	/1/1/6/	14	42487730	adventure-works\michael8	3.0
14	/1/1/7/	15	56920285	adventure-works\sharon0	3.0
15	/2/	16	24756624	adventure-works\david0	1.0
16	/2/1/	17	253022876	adventure-works\kevin0	2.0
17	/2/2/	18	222969461	adventure-works\john5	2.0
18	/2/3/	19	52541318	adventure-works\mary2	2.0
19	/2/4/	20	323403273	adventure-works\wanida0	2.0
20	/2/5/	21	243322160	adventure-works\terry0	2.0
21	/2/6/	22	95958330	adventure-works\sariya0	2.0
22	/2/7/	23	767955365	adventure-works\mary0	2.0
23	/2/8/	24	72636981	adventure-works\jill0	2.0
24	/3/	25	519899904	adventure-works\james1	1.0
25	/3/1/	26	277173473	adventure-works\peter0	2.0
26	/3/1/1/	27	446466105	adventure-works\jo0	3.0
27	/3/1/1/1/	28	14417807	adventure-works\guy1	4.0
28	/3/1/1/2/	29	948320468	adventure-works\mark1	4.0
29	/3/1/1/3/	30	410742000	adventure-works\britta0	4.0
30	/3/1/1/4/	31	750246141	adventure-works\margie0	4.0
31	/3/1/1/5/	32	330211482	adventure-works\rebecca0	4.0
32	/3/1/1/6/	33	801758002	adventure-works\annik0	4.0
33	/3/1/1/7/	34	754372876	adventure-works\suchitra0	4.0
34	/3/1/1/8/	35	999440576	adventure-works\brandon0	4.0
35	/3/1/1/9/	36	788456780	adventure-works\jose0	4.0
36	/3/1/1/10/	37	442121106	adventure-works\chris2	4.0
37	/3/1/1/11/	38	6298838	adventure-works\kim1	4.0
38	/3/1/1/12/	39	461786517	adventure-works\ed0	4.0
39	/3/1/2/	40	309738752	adventure-works\jolynn0	3.0
40	/3/1/2/1/	41	458159238	adventure-works\bryan0	4.0
41	/3/1/2/2/	42	339712426	adventure-works\james0	4.0
42	/3/1/2/3/	43	693325305	adventure-works\nancy0	4.0
43	/3/1/2/4/	44	276751903	adventure-works\simon0	4.0
44	/3/1/2/5/	45	500412746	adventure-works\thomas0	4.0
45	/3/1/2/6/	46	66073987	adventure-works\eugene1	4.0
46	/3/1/3/	47	33237992	adventure-works\andrew0	3.0
47	/3/1/3/1/	48	690627818	adventure-works\ruth0	4.0
48	/3/1/3/2/	49	912265825	adventure-works\barry0	4.0
49	/3/1/3/3/	50	844973625	adventure-works\sidney0	4.0
50	/3/1/3/4/	51	132674823	adventure-works\jeffrey0	4.0
51	/3/1/3/5/	52	565090917	adventure-works\doris0	4.0
52	/3/1/3/6/	53	9659517	adventure-works\diane0	4.0
53	/3/1/3/7/	54	109272464	adventure-works\bonnie0	4.0
54	/3/1/4/	55	233069302	adventure-works\taylor0	3.0
55	/3/1/4/1/	56	652535724	adventure-works\denise0	4.0
56	/3/1/4/2/	57	10708100	adventure-works\frank1	4.0
57	/3/1/4/3/	58	571658797	adventure-works\kendall0	4.0
58	/3/1/4/4/	59	843479922	adventure-works\bob0	4.0
59	/3/1/4/5/	60	827686041	adventure-works\pete0	4.0
60	/3/1/4/6/	61	92096924	adventure-works\diane2	4.0
61	/3/1/5/	62	494170342	adventure-works\john0	3.0
62	/3/1/5/1/	63	414476027	adventure-works\maciej0	4.0
63	/3/1/5/2/	64	582347317	adventure-works\michael7	4.0
64	/3/1/5/3/	65	8066363	adventure-works\randy0	4.0
65	/3/1/5/4/	66	834186596	adventure-works\karan0	4.0
66	/3/1/5/5/	67	63179277	adventure-works\jay0	4.0
67	/3/1/5/6/	68	537092325	adventure-works\charles0	4.0
68	/3/1/5/7/	69	752513276	adventure-works\steve0	4.0
69	/3/1/5/8/	70	36151748	adventure-works\david2	4.0
70	/3/1/6/	71	578935259	adventure-works\michael3	3.0
71	/3/1/6/1/	72	443968955	adventure-works\steven0	4.0
72	/3/1/6/2/	73	138280935	adventure-works\carole0	4.0
73	/3/1/6/3/	74	420023788	adventure-works\bjorn0	4.0
74	/3/1/6/4/	75	363996959	adventure-works\michiko0	4.0
75	/3/1/6/5/	76	227319668	adventure-works\carol0	4.0
76	/3/1/6/6/	77	301435199	adventure-works\merav0	4.0
77	/3/1/7/	78	370989364	adventure-works\reuben0	3.0
78	/3/1/7/1/	79	697712387	adventure-works\eric1	4.0
79	/3/1/7/2/	80	943170460	adventure-works\sandeep0	4.0
80	/3/1/7/3/	81	413787783	adventure-works\mihail0	4.0
81	/3/1/7/4/	82	58791499	adventure-works\jack1	4.0
82	/3/1/7/5/	83	988315686	adventure-works\patrick1	4.0
83	/3/1/7/6/	84	947029962	adventure-works\frank3	4.0
84	/3/1/7/7/	85	1662732	adventure-works\brian2	4.0
85	/3/1/7/8/	86	769680433	adventure-works\ryan0	4.0
86	/3/1/8/	87	7201901	adventure-works\cristian0	3.0
87	/3/1/8/1/	88	294148271	adventure-works\betsy0	4.0
88	/3/1/8/2/	89	90888098	adventure-works\patrick0	4.0
89	/3/1/8/3/	90	82638150	adventure-works\danielle0	4.0
90	/3/1/8/4/	91	390124815	adventure-works\kimberly0	4.0
91	/3/1/8/5/	92	826454897	adventure-works\tom0	4.0
92	/3/1/9/	93	778552911	adventure-works\kok-ho0	3.0
93	/3/1/9/1/	94	718299860	adventure-works\russell0	4.0
94	/3/1/9/2/	95	674171828	adventure-works\jim0	4.0
95	/3/1/9/3/	96	912141525	adventure-works\elizabeth0	4.0
96	/3/1/9/4/	97	370581729	adventure-works\mandar0	4.0
97	/3/1/9/5/	98	152085091	adventure-works\sameer0	4.0
